outfit_id,item_id,category,colors,materials,pattern,fit,item_type
o1,i1,5,[0 0 0 0 0 0 0 0 0 0 1 0 0],[0 1 0 0 0 0 0 0 0 0],4,4,0
o1,i2,1,[0 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 0 0 0 0 0 0 0],4,5,11
o2,i3,5,[0 0 0 0 0 0 0 0 0 0 0 1 0],[0 0 0 0 1 0 0 0 0 0],5,2,13
o2,i4,1,[1 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 1 0 0 0],4,4,14
o3,i5,5,[0 0 0 0 0 1 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 1],0,3,15
o3,i6,1,[0 0 1 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0 0],3,4,16
o4,i7,5,[1 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 1 0 0],1,4,17
o4,i8,1,[0 0 0 0 0 0 0 0 0 0 0 1 0],[0 0 0 0 1 0 0 0 0 0],5,5,18
o5,i9,5,[0 0 0 0 0 0 0 0 0 0 0 0 1],[0 1 0 0 0 0 0 0 0 0],4,5,19
o5,i10,1,[0 0 0 0 0 0 1 0 0 0 0 0 0],[0 1 0 0 0 0 0 0 0 0],3,4,1
o6,i11,2,[0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 0 0 0 1 0 0 0],3,1,2
o6,i12,0,[0 0 0 1 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 0 0 0 0],3,0,3
o7,i13,4,[0 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 1],3,3,4
o7,i14,3,[0 0 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 0],3,4,5
o8,i15,5,[0 0 0 0 0 0 0 0 0 1 0 0 0],[0 1 0 0 0 0 0 0 0 0],4,5,6
o8,i16,1,[0 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 0 0 0 0 0 0 0],4,4,7
o9,i17,5,[0 0 0 0 0 0 0 0 1 0 0 0 0],[0 1 0 0 0 0 0 0 0 0],2,4,8
o9,i18,1,[1 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 1 0 0 0],3,5,9
o10,i19,4,[0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 0],4,5,10
o10,i20,3,[1 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 1 0],3,4,12
